Year,Race,Round,YELLOW,DOUBLE YELLOW,RED
2024,Bahrain Grand Prix,1,1,2,0
2024,Saudi Arabian Grand Prix,2,2,1,0
2024,Australian Grand Prix,3,5,8,0
2024,Japanese Grand Prix,4,4,1,1
2024,Emilia Romagna Grand Prix,7,2,1,0
2024,Monaco Grand Prix,8,6,8,1
2024,Canadian Grand Prix,9,12,5,0
2024,Spanish Grand Prix,10,0,0,0
2024,British Grand Prix,12,0,0,0
2024,Hungarian Grand Prix,13,1,0,0
2024,Belgian Grand Prix,14,1,0,0
2024,Dutch Grand Prix,15,1,2,0
2024,Italian Grand Prix,16,0,0,0
2024,Azerbaijan Grand Prix,17,12,8,0
2024,Singapore Grand Prix,18,0,0,0
2024,Mexico City Grand Prix,20,5,17,0
2024,Las Vegas Grand Prix,22,1,0,0
2024,Abu Dhabi Grand Prix,24,5,7,0
2025,Australian Grand Prix,1,7,14,0
2025,Japanese Grand Prix,3,0,0,0
2025,Bahrain Grand Prix,4,0,2,0
2025,Saudi Arabian Grand Prix,5,3,6,0
